distance_mm,dest,origin,time,origin_key,origin_x,origin_y,origin_z,origin_r,dest_key,dest_x,dest_y,dest_z,dest_r
70,"[172, -13, -9, 0]","[82.0, 242.0, -9.0, 76.0]",1739355596.7978969,home,82.0,242.0,-9.0,76.0,bottom_right,172,-13,-9,0.0
71,"[172, -13, -9, 0]","[82.0, 242.0, -9.0, 76.0]",1739355597.3094988,home,82.0,242.0,-9.0,76.0,bottom_right,172,-13,-9,0.0
70,"[172, -13, -9, 0]","[82.0, 242.0, -9.0, 76.0]",1739355597.8227096,home,82.0,242.0,-9.0,76.0,bottom_right,172,-13,-9,0.0
71,"[172, -13, -9, 0]","[82.0, 242.0, -9.0, 76.0]",1739355598.335599,home,82.0,242.0,-9.0,76.0,bottom_right,172,-13,-9,0.0
70,"[172, -13, -9, 0]","[82.0, 242.0, -9.0, 76.0]",1739355598.8511105,home,82.0,242.0,-9.0,76.0,bottom_right,172,-13,-9,0.0
71,"[172, -13, -9, 0]","[82.0, 242.0, -9.0, 76.0]",1739355599.3630297,home,82.0,242.0,-9.0,76.0,bottom_right,172,-13,-9,0.0
71,"[172, -13, -9, 0]","[82.0, 242.0, -9.0, 76.0]",1739355599.8738256,home,82.0,242.0,-9.0,76.0,bottom_right,172,-13,-9,0.0
70,"[172, -13, -9, 0]","[82.0, 242.0, -9.0, 76.0]",1739355600.3863454,home,82.0,242.0,-9.0,76.0,bottom_right,172,-13,-9,0.0
71,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739355600.8964791,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
70,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739355601.4069152,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
71,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739355601.9169316,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
70,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739355602.4313188,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
71,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739355602.9381304,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
70,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739355603.4484882,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
71,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739355603.9593756,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
71,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739355604.470878,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
70,"[146, 292, -9, 0]","[172, -13, -9, 0]",1739355604.9795685,bottom_right,172.0,-13.0,-9.0,0.0,top_left,146,292,-9,0.0
71,"[19, 192, -9, 88]","[146, 292, -9, 0]",1739355605.4865167,top_left,146.0,292.0,-9.0,0.0,bottom_left,19,192,-9,88.0
70,"[19, 192, -9, 88]","[146, 292, -9, 0]",1739355605.9950953,top_left,146.0,292.0,-9.0,0.0,bottom_left,19,192,-9,88.0
71,"[19, 192, -9, 88]","[146, 292, -9, 0]",1739355606.496272,top_left,146.0,292.0,-9.0,0.0,bottom_left,19,192,-9,88.0
70,"[19, 192, -9, 88]","[146, 292, -9, 0]",1739355607.0075877,top_left,146.0,292.0,-9.0,0.0,bottom_left,19,192,-9,88.0
71,"[19, 192, -9, 88]","[146, 292, -9, 0]",1739355607.5169272,top_left,146.0,292.0,-9.0,0.0,bottom_left,19,192,-9,88.0
70,"[19, 192, -9, 88]","[146, 292, -9, 0]",1739355608.0264509,top_left,146.0,292.0,-9.0,0.0,bottom_left,19,192,-9,88.0
71,"[294, 80, -9, 18.9]","[19, 192, -9, 88]",1739355608.53289,bottom_left,19.0,192.0,-9.0,88.0,top_right,294,80,-9,18.9
71,"[294, 80, -9, 18.9]","[19, 192, -9, 88]",1739355609.0385818,bottom_left,19.0,192.0,-9.0,88.0,top_right,294,80,-9,18.9
71,"[294, 80, -9, 18.9]","[19, 192, -9, 88]",1739355609.5470884,bottom_left,19.0,192.0,-9.0,88.0,top_right,294,80,-9,18.9
71,"[294, 80, -9, 18.9]","[19, 192, -9, 88]",1739355610.0590026,bottom_left,19.0,192.0,-9.0,88.0,top_right,294,80,-9,18.9
70,"[294, 80, -9, 18.9]","[19, 192, -9, 88]",1739355610.5718417,bottom_left,19.0,192.0,-9.0,88.0,top_right,294,80,-9,18.9
71,"[294, 80, -9, 18.9]","[19, 192, -9, 88]",1739355611.081467,bottom_left,19.0,192.0,-9.0,88.0,top_right,294,80,-9,18.9
70,"[294, 80, -9, 18.9]","[19, 192, -9, 88]",1739355611.5919425,bottom_left,19.0,192.0,-9.0,88.0,top_right,294,80,-9,18.9
71,"[294, 80, -9, 18.9]","[19, 192, -9, 88]",1739355612.1048064,bottom_left,19.0,192.0,-9.0,88.0,top_right,294,80,-9,18.9
71,"[225, 188, -9, 71]","[294, 80, -9, 18.9]",1739355612.6171207,top_right,294.0,80.0,-9.0,18.9,top_middle,225,188,-9,71.0
70,"[225, 188, -9, 71]","[294, 80, -9, 18.9]",1739355613.1307428,top_right,294.0,80.0,-9.0,18.9,top_middle,225,188,-9,71.0
71,"[225, 188, -9, 71]","[294, 80, -9, 18.9]",1739355613.645696,top_right,294.0,80.0,-9.0,18.9,top_middle,225,188,-9,71.0
70,"[225, 188, -9, 71]","[294, 80, -9, 18.9]",1739355614.156988,top_right,294.0,80.0,-9.0,18.9,top_middle,225,188,-9,71.0
71,"[225, 188, -9, 71]","[294, 80, -9, 18.9]",1739355614.6693969,top_right,294.0,80.0,-9.0,18.9,top_middle,225,188,-9,71.0
70,"[98, 88, -10, 46]","[225, 188, -9, 71]",1739355615.1837864,top_middle,225.0,188.0,-9.0,71.0,bottom_middle,98,88,-10,46.0
71,"[98, 88, -10, 46]","[225, 188, -9, 71]",1739355615.6949022,top_middle,225.0,188.0,-9.0,71.0,bottom_middle,98,88,-10,46.0
71,"[98, 88, -10, 46]","[225, 188, -9, 71]",1739355616.2063246,top_middle,225.0,188.0,-9.0,71.0,bottom_middle,98,88,-10,46.0
70,"[98, 88, -10, 46]","[225, 188, -9, 71]",1739355616.7124646,top_middle,225.0,188.0,-9.0,71.0,bottom_middle,98,88,-10,46.0
71,"[98, 88, -10, 46]","[225, 188, -9, 71]",1739355617.2180805,top_middle,225.0,188.0,-9.0,71.0,bottom_middle,98,88,-10,46.0
70,"[98, 88, -10, 46]","[225, 188, -9, 71]",1739355617.726685,top_middle,225.0,188.0,-9.0,71.0,bottom_middle,98,88,-10,46.0
71,"[241, 26, -9, 11]","[98, 88, -10, 46]",1739355618.2335007,bottom_middle,98.0,88.0,-10.0,46.0,right_middle,241,26,-9,11.0
70,"[241, 26, -9, 11]","[98, 88, -10, 46]",1739355618.7404168,bottom_middle,98.0,88.0,-10.0,46.0,right_middle,241,26,-9,11.0
71,"[241, 26, -9, 11]","[98, 88, -10, 46]",1739355619.24896,bottom_middle,98.0,88.0,-10.0,46.0,right_middle,241,26,-9,11.0
70,"[241, 26, -9, 11]","[98, 88, -10, 46]",1739355619.758362,bottom_middle,98.0,88.0,-10.0,46.0,right_middle,241,26,-9,11.0
71,"[241, 26, -9, 11]","[98, 88, -10, 46]",1739355620.269589,bottom_middle,98.0,88.0,-10.0,46.0,right_middle,241,26,-9,11.0
71,"[241, 26, -9, 11]","[98, 88, -10, 46]",1739355620.7814233,bottom_middle,98.0,88.0,-10.0,46.0,right_middle,241,26,-9,11.0
70,"[82, 242, -9, 76]","[241, 26, -9, 11]",1739355621.2854033,right_middle,241.0,26.0,-9.0,11.0,left_middle,82,242,-9,76.0
71,"[82, 242, -9, 76]","[241, 26, -9, 11]",1739355621.7929804,right_middle,241.0,26.0,-9.0,11.0,left_middle,82,242,-9,76.0
